price,address,rooms,baths,area,image,status
2.110,"Tercera Avenida, 1221, San Miguel",1,1,32,https://prod-buydepa-public.s3.us-east-1.amazonaws.com/core/sales/files/2b86a662-ea3e-4703-a8da-ede5f5741005_Captura%20de%20pantalla%202025-05-05%20a%20la(s)%204.26.56%E2%80%AFp.m.jpg,Disponible
1.895,"José Joaquin Prieto, 4260, San Miguel",1,1,29,https://prod-buydepa-public.s3.us-east-1.amazonaws.com/core/sales/files/6a1a461b-9ae2-4b1d-a406-89ab15c9df17_718A5277-HDR.jpg,Disponible
1.900,"Santa Elena, 1760, Santiago",1,1,29,https://prod-buydepa-public.s3.us-east-1.amazonaws.com/core/sales/files/17c61a71-ab75-4f6d-8b20-5077a925ba3f_718A7120-HDR.jpg,Disponible
2.600,"Manuel Antonio Tocornal, 601, Santiago",2,1,40,https://prod-buydepa-public.s3.us-east-1.amazonaws.com/core/sales/files/2b19d508-a333-4e4f-95ce-3641dc54ba62_WhatsApp%20Image%202025-05-12%20at%2011.45.33%20(14).jpeg,Reservado
1.460,"Amunategui, 630, Santiago",1,1,23,https://prod-buydepa-public.s3.us-east-1.amazonaws.com/core/sales/files/6436de39-b182-4d42-a197-4cce59bbea3a_Imagen%20de%20WhatsApp%202024-12-18%20a%20las%2018.54.51_3aa04609.jpg,Disponible
1.950,"Carmen, 616, Santiago",1,1,29,https://prod-buydepa-public.s3.us-east-1.amazonaws.com/core/sales/files/b931d82a-2b4a-4bf6-a72e-48d89eb573fb_718A4753-HDR.jpg,Disponible
1.790,"San Francisco, 294, Santiago",1,1,27,https://prod-buydepa-public.s3.us-east-1.amazonaws.com/core/sales/files/39950399-cac6-446c-af2a-e91658348c2a_718A4813-HDR.jpg,Disponible
2.460,"Bandera, 898, Santiago",2,2,54,https://prod-buydepa-public.s3.us-east-1.amazonaws.com/core/sales/files/ed948966-0ca2-409d-ac1e-0e8e5321f4cf_Captura%20de%20pantalla%202025-12-04%20a%20la(s)%205.53.34%E2%80%AFp.m..png,Disponible
2.190,"Dieciocho, 747, Santiago",1,1,45.31,https://prod-buydepa-public.s3.us-east-1.amazonaws.com/core/sales/files/93a1cc1c-84ed-48ab-96df-33ba1541580a_718A2607-HDR.jpg,Disponible
2.170,"Argomedo, 390, Santiago",1,1,37,https://prod-buydepa-public.s3.us-east-1.amazonaws.com/core/sales/files/6d0103f4-c36f-4d59-89e8-33201a3e26f6_718A7283.jpg,Reservado
2.870,"Morandé, 626, Santiago",2,2,52,https://prod-buydepa-public.s3.us-east-1.amazonaws.com/core/sales/files/900dee96-46c9-4548-a485-eebaf3f70166_718A0588-HDR.jpg,Reservado
3.540,"Exequiel Fernandez, 6200, La Florida",2,1,55,https://prod-buydepa-public.s3.us-east-1.amazonaws.com/core/sales/files/bd1859fc-01a9-4192-8dde-e490fde9ad2b_718A7658-HDR.jpg,Disponible
1.370,"Huérfanos, 1400, Santiago",1,1,23,https://prod-buydepa-public.s3.us-east-1.amazonaws.com/core/sales/files/047137e3-12fa-45b5-b622-748577048f4f_Imagen%20de%20WhatsApp%202025-01-31%20a%20las%2015.05.46_8df18f02.jpg,Reservado
2.135,"San Diego, 516, Santiago",1,1,35,https://prod-buydepa-public.s3.us-east-1.amazonaws.com/core/sales/files/1c1ed827-dfe3-4475-a8ad-3d20a9accd84_718A0126-HDR.jpg,Disponible
2.100,"San Petersburgo, 6351, San Miguel",3,1,49,https://prod-buydepa-public.s3.us-east-1.amazonaws.com/core/sales/files/15f310cc-594f-4533-aede-51883a65e5ce_718A9234-HDR.jpg,Disponible
2.110,"Nataniel Cox, 1200, Santiago",1,1,31,https://prod-buydepa-public.s3.us-east-1.amazonaws.com/core/sales/files/ab933414-7727-4383-9ae5-4d425d0f808c_519a.jpg,Disponible
1.860,"Santa Elena, 1760, Santiago",1,1,29,https://prod-buydepa-public.s3.us-east-1.amazonaws.com/core/sales/files/59ff7afe-0f49-425a-9a54-b8e6324f4ed8_Captura%20de%20pantalla%202025-12-05%20122315.png,Disponible
1.860,"Santa Maria, 571, Recoleta",1,1,43,https://prod-buydepa-public.s3.us-east-1.amazonaws.com/core/sales/files/99546564-c2d8-465f-97d3-b9ded1d4ec4c_718A3696-HDR.jpg,Disponible
2.150,"Eyzaguirre, 819, Santiago",1,1,34,https://prod-buydepa-public.s3.us-east-1.amazonaws.com/core/sales/files/3b431625-1d8c-497d-823f-822414cc6a47_718A0424-HDR.jpg,Disponible
2.210,"Carmen, 644, Santiago",1,1,39,https://prod-buydepa-public.s3.us-east-1.amazonaws.com/core/sales/files/de10ea16-ff62-4e00-86fa-0b44dd36e35c_WhatsApp%20Image%202025-10-03%20at%2011.49.43%20AM%20(5).jpeg,Disponible
1.810,"Manuel Antonio Tocornal, 455, Santiago",1,1,30.34,https://prod-buydepa-public.s3.us-east-1.amazonaws.com/core/sales/files/06ea6968-1626-4c6e-a341-f343c6d9887c_WhatsApp%20Image%202025-10-15%20at%203.27.50%20PM.jpeg,Disponible
2.160,"Calle Gay, 1728, Santiago",1,1,38,https://prod-buydepa-public.s3.us-east-1.amazonaws.com/core/sales/files/69a913f7-d1f8-400e-ba37-a5077a1ef852_718A0629-HDR.jpg,Disponible
2.060,"Portugal, 564, Santiago",1,1,29,https://prod-buydepa-public.s3.us-east-1.amazonaws.com/core/sales/files/78ff07a2-c415-4345-8abe-9b31a73a9dee_718A1988-HDR.jpg,Disponible
1.990,"Cruz, 1275, Independencia",1,1,34,https://prod-buydepa-public.s3.us-east-1.amazonaws.com/core/sales/files/9bded237-63a6-4448-9061-0744cae9f205_Foto%201%20Cocina%20y%20Living%20Depto%20702%20de%20Calle%20Cruz%201275.jpg,Disponible
3.510,"Alcalde Pedro Alarcón, 851, San Miguel",2,2,56.08,https://prod-buydepa-public.s3.us-east-1.amazonaws.com/core/sales/files/3fe68bf3-feeb-4ca5-896d-096c63b8ceae_WhatsApp%20Image%202025-08-26%20at%209.39.28%20AM%20(1).jpeg,Disponible
2.360,"San Martin, 870, Santiago",2,1,43,https://prod-buydepa-public.s3.us-east-1.amazonaws.com/core/sales/files/79de6ea8-948c-4d35-b23c-4f7a50db9b01_718A1300.jpg,Reservado
2.260,"San Martin, 870, Santiago",2,1,39,https://prod-buydepa-public.s3.us-east-1.amazonaws.com/core/sales/files/8f2fb2aa-f2c4-4651-af4b-6035fa065838_718A1273.jpg,Disponible
3.340,"Punta Arenas, 6900, La Florida",2,1,45.5,https://prod-buydepa-public.s3.us-east-1.amazonaws.com/core/sales/files/cedd180d-7331-40b8-89e8-242917d2dda2_WhatsApp%20Image%202025-08-26%20at%209.40.52%20AM.jpeg,Disponible
1.800,"San Isidro, 292, Santiago",1,1,28,https://prod-buydepa-public.s3.us-east-1.amazonaws.com/core/sales/files/e1874332-5526-4456-a19a-f83cddf1baa6_WhatsApp%20Image%202025-09-29%20at%208.21.36%20AM%20(1).jpeg,Disponible
2.100,"Eleuterio Ramírez, 1024, Santiago",1,1,38,https://prod-buydepa-public.s3.us-east-1.amazonaws.com/core/sales/files/28c2ae34-2299-458f-9ab8-ac8bdf76b827_718A1216.jpg,Disponible
1.840,"San Martín, 714, Santiago",1,1,34,https://prod-buydepa-public.s3.us-east-1.amazonaws.com/core/sales/files/6b5c0047-9a18-4af8-92a7-0b77b465e8a0_718A4730.jpg,Reservado
2.710,"Hipódromo de Chile, 1372, Independencia",2,1,52,https://prod-buydepa-public.s3.us-east-1.amazonaws.com/core/sales/files/5640e6c2-53c0-4f22-be50-40df120c65a5_gimnasio.JPG,Disponible
2.110,"Agustinas, 1612, Santiago",1,1,33,https://prod-buydepa-public.s3.us-east-1.amazonaws.com/core/sales/files/ab7c22ac-0a1d-41a3-8ef3-be29c01be427_Captura%20de%20pantalla%202025-05-05%20a%20la(s)%204.36.20%E2%80%AFp.m.jpg,Disponible
2.890,"Amunategui, 630, Santiago",2,2,48,https://prod-buydepa-public.s3.us-east-1.amazonaws.com/core/sales/files/448836bf-335d-42ba-bc89-f9b45427da02_718A3758-HDR.jpg,Disponible
2.660,"San Francisco, 632, Santiago",2,2,52,https://prod-buydepa-public.s3.us-east-1.amazonaws.com/core/sales/files/79cb62d8-0621-4d14-8ebd-1970649736f3_718A7705-HDR.jpg,Disponible
1.960,"Independencia, 1815, Independencia",1,1,31,https://prod-buydepa-public.s3.us-east-1.amazonaws.com/core/sales/files/f903e38d-760d-4a20-bc1a-30b23cc0747b_Foto%207%20Cocina%20Depto%201916.JPG,Disponible
